ticket_id,workstream,title,priority,depends_on,deliverable,acceptance_criteria,status,notes
A2-001,A2,Freeze public namespace and route contract,Critical,A1,"docs/a2_public_contract_freeze.md","namespace schedule/encounter/local-summary/orca-live fixed; no ORCA-local mixed route; one-route-one-schema; JSON error contract fixed",todo,"No rename/delete execution before hidden consumer inventory"
A2-002,A2,Freeze transition command payload and error JSON,Critical,A1,"transition payload schema + common error JSON","requestId/traceId/idempotencyKey included; 401/403/404/409/422/5xx JSON fixed; raw int state removed from public contract",todo,"document save remains separate from encounter transition"
A2-003,A2,Freeze live-vs-local disease and outpatient contract,Critical,A1,"route/payload contract for ORCA live disease/outpatient vs local diagnosis/outpatient summary","ORCA routes return ORCA live only; local routes live outside ORCA namespace; no shared ID/schema between ORCA live disease and local diagnosis",todo,"bare diagnosisId public mutation remains prohibited"
A4-001,A4,Design schedule_projection schema,Critical,A1,"DDL + migration + read/write contract","scheduleKey=facilityId+orcaAppointmentId; state enum scheduled/cancelled; linkedEncounterKey supported; sourceUpdatedAt/projectedAt present",todo,"Use minimum data model from A1"
A4-002,A4,Design encounter_projection schema,Critical,A1,"DDL + migration + repository contract","encounterKey=facilityId+orcaAcceptanceId; businessState enum checked_in/chart_opened/billed/cancelled; ownerUserId/memo/worklistFlags separated from businessState",todo,"No patient+day identity"
A4-003,A4,Design encounter_transition_log and reconciliation_task schema,Critical,A1,"DDL + migration + repository contract","requestId/traceId/idempotencyKey persisted; reconciliationRequired and lastError present; attemptCount and updatedAt present",todo,"Supports truthful transition/reconcile flow"
A4-004,A4,Design immutable snapshot minimum contract,High,A1,"DDL + migration + persistence contract","insuranceSnapshot/patientDisplaySnapshot/document linkage metadata can be stored without mutating ORCA source of truth",todo,"Needed for transition/reporting integrity"
A5-001,A5,Implement composite scope enforcement,Critical,"A1,A2","scope validator / guard design + code","patient/karte/encounter/diagnosis/document scope requires facilityId-based composite scope; bare numeric ID mutation blocked",todo,"Applies to diagnosis/document/attachment/public mutation endpoints"
A5-002,A5,Implement request correlation contract,High,"A1,A2,A4","request correlation middleware + persistence wiring","requestId/traceId/idempotencyKey flow from request through audit and transition persistence",todo,"Needed for audit chain and reconcile"
A5-003,A5,Implement audit event taxonomy and minimum payload,Critical,"A1,A4","audit event enum + payload contract + tests","minimum event taxonomy present; payload excludes clinical free text/raw query/tokens/secrets; facilityId/actor/request correlation present",todo,"Authoritative audit/outbox may be separate CT"
A3-001,A3,Replace OrcaWrapperService boundary with OrcaLiveGateway,High,"A1,A3 Slice-1","service boundary refactor","facility explicit live gateway present; ORCA live and local projection services separated by responsibility/name",todo,"May be phased if existing interface remains temporarily internal only"
INV-001,Discovery,Build hidden consumer inventory,Critical,"A1,A2,A3","docs/hidden_consumer_inventory.md","all in-repo references to legacy/deprecated/public route names inventoried; route rename/delete can be executed with evidence",todo,"Repo-outside consumers remain unknown unless separately confirmed"
INV-002,Discovery,Confirm ORCA appointment/acceptance field contract,Critical,"A1,A3","field inventory document + code mapping","authoritative upstream fields for appointmentId and acceptanceId mapped to scheduleKey/encounterKey",todo,"Blocks final A4 key wiring"
INV-003,Discovery,Confirm canonical ORCA billed source,Critical,"A1,A3","fact-finding memo + code mapping","billed transition trigger pinned to ORCA source/result and not inferred from local side effects",todo,"Blocks final chart_opened->billed trigger semantics"
POL-001,Policy,Decide cancel-after-signed-document handling,High,"A1,A5","policy note + route behavior contract","cancel flow for signed document cases is explicit and audited; no silent fail-open",todo,"A1 intentionally left this open"
REF-001,Refactoring,Plan PatientVisitModel and legacy PVT cache replacement,High,"A1,A4","cutover plan document + implementation tasks","legacy PatientVisitModel/PVT cache dependencies inventoried and mapped to schedule/encounter/projection replacements",todo,"Needed before final PVT cutover"
