task_id,workstream,priority,owner,target_paths,summary,dependencies,acceptance,tests
TASK-001,WS-03,P0,docs-owner,web-client/notes/chart-domain-boundary.md,Charts 3 ペイン責務と right/left/center の禁止事項を repo 正本化する,-,left/reference・center/primary・right/chooser-only が一意に読める,TST-004;TST-005
TASK-002,WS-03,P0,docs-owner,web-client/notes/reusable-assets-taxonomy.md,assist / set / template / artifact / truth object taxonomy を固定する,TASK-001,`患者候補` などの source taxonomy と forbidden asset が明記される,TST-004;TST-005
TASK-003,WS-04,P0,docs-owner,web-client/notes/disease-insurance-orca-contract.md,disease 3 層と conflict matrix を repo 正本化する,-,single-list truth 禁止と manual-resolution fallback が明文化される,TST-018;TST-023
TASK-004,WS-05,P0,docs-owner,web-client/notes/document-image-lifecycle.md,template / snapshot / reference / asset / print preview を分離定義する,-,snapshot-only / reference-remove-only / open gate が明記される,TST-024;TST-028
TASK-005,WS-06,P0,docs-owner,web-client/notes/billing-boundary-correction-scenarios.md,billing 4 層 taxonomy と correction scenario catalog を固定する,-,`send success != paid` と `再計待` が docs で固定される,TST-030;TST-033
TASK-006,WS-07,P0,docs-owner,web-client/notes/management-setting-dependent-behavior.md,setting dependency authoritative source inventory を作る,-,unknown setting が feature-off/fail-close として整理される,TST-034;TST-037
TASK-007,WS-01,P0,docs-owner,web-client/notes/ui-current-contract.md;web-client/notes/patient-context-contract.md;web-client/notes/feedback-spec.md,core notes に new boundary/copy/fallback を統合する,TASK-001;TASK-003;TASK-004;TASK-005;TASK-006,surface owner / state owner / fallback owner を notes から辿れる,TST-004;TST-010;TST-034
TASK-008,WS-09,P1,docs-owner,web-client/notes/release-gate.md;docs/runbooks/release-validation.md;docs/web-client/ux/web-client-ui-guideline.md;docs/contracts/runtime-config.md;docs/contracts/orca-connection.md;docs/contracts/patient-images.md;docs/contracts/document-integrity.md;docs/web-client/architecture/document-embedded-attachment-policy.md;web-client/notes/README.md,release gate と contract docs を fixed decision に同期する,TASK-007,runbook / gate / architecture / contract docs 間の矛盾が消える,TST-001;TST-002;TST-003;TST-040
TASK-009,WS-01,P0,reception-owner,web-client/src/features/outpatient/types.ts,ReceptionStatus に `再計待` を追加し transmission/correction 用型を分ける,TASK-005,型で `送信済` と `会計済み` を混同しにくくなる,TST-006;TST-007
TASK-010,WS-01,P0,reception-owner,web-client/src/features/reception/receptionDailyState.ts,row-local override と `再計待` rank/source を実装する,TASK-009;UG-01;UG-02;WS01-G1,same-day multi-reception で誤行更新せず send success だけで paid へ上げない,TST-007;TST-008
