task_id,cluster,workstream,owner,priority,type,paths,acceptance_summary,depends_on,merge_order
T-001,C7,WS-Q1,SA-01,P0,code+test+docs,"web-client/scripts/qa-lib/medical-information-gate.mjs;web-client/scripts/__tests__/medicalInformationGate.test.ts;web-client/scripts/qa-acceptmodv2-weborca.mjs;web-client/scripts/qa-fullflow-weborca.mjs;docs/runbooks/release-validation.md;docs/releases/orca-remediation-cutover.md","actual browser payload shapeでomission leakをfailure化; docs/scripts同値; artifact保存だけで終わらない",none,1
T-002,RT-01,WS-Q1,SA-01,P2,script+docs(+source-if-needed),"web-client/scripts/verify-no-blocked-orca-route-strings.mjs;web-client/scripts/runtime-ready-smoke.mjs;docs/contracts/orca-route-taxonomy.md;web-client/src/features/outpatient/orcaQueueApi.ts","queue/pushevent exception policyをrepo truthで整合; docs/guard/sourceに曖昧さを残さない",T-001 optional,1
T-003,docs-drift,WS-Q1,SA-01,P2,docs,docs/implementation/opendolphin-webclient-remaining-followup-package-20260417/*,"runtime-ready-smoke/npm run ci/server verify の未検証pass文言をcleanup; rerun-requiredかnot-verifiedに揃える",T-001,1
T-004,C5,WS-P1,SA-02,P1,code+test,"web-client/src/features/shared/orcaApiResponse.ts;web-client/src/features/outpatient/orcaPatientImportApi.ts;web-client/src/features/patients/PatientsPage.tsx","import full successをbusiness success+canonical readback successに限定; PARTIAL/errorsをfull-success copyにしない",none,2
T-005,C5,WS-P1,SA-02,P1,code+test,"web-client/src/features/patients/api.ts;web-client/src/features/charts/PatientInfoEditDialog.tsx;web-client/src/features/patients/__tests__/api.test.ts;web-client/src/features/patients/__tests__/PatientsPage.test.tsx;web-client/src/features/charts/__tests__/PatientInfoEditDialog.test.tsx;web-client/src/features/outpatient/__tests__/orcaPatientImportApi.test.ts","create/update/import partial branchesのnegative tests追加; dialog close/full-success driftなし",T-004 partial,2
T-006,C3,WS-W1,SA-03,P1,test(+code-if-needed),"web-client/src/features/charts/orcaClaimSendCache.ts;web-client/src/features/charts/print/useOrcaReportPrint.ts;web-client/src/features/charts/OrderBundleEditPanel.tsx;web-client/src/features/charts/OrderDockPanel.tsx;web-client/src/features/charts/DocumentTimeline.tsx;related tests","same-day multi-encounter / multi-reception negativeをreport/order panels/timelineまで拡張; key不足時no positive",none,3
T-007,C6,WS-W1,SA-03,P1,test(+minimal markup hook if needed),"web-client/src/features/charts/OrcaSummary.tsx;web-client/src/features/charts/__tests__/OrcaSummary.semantics.test.tsx;tests/charts/e2e-billing-correction-note.spec.ts","must-visible infoをvisible+details外でlock; hidden DOM存在だけで通らない",T-006 partial,3
T-008,R-OBS-01,WS-S1,SA-04,P2,code+test,"server-modernized/src/main/java/open/dolphin/orca/transport/OrcaTransportSettings.java;server-modernized/src/main/java/open/dolphin/orca/transport/RestOrcaTransport.java;server-modernized/src/main/java/open/dolphin/orca/transport/OrcaTransportRegistry.java;server-modernized/src/main/java/open/dolphin/orca/config/OrcaConnectionConfigStore.java;server-modernized/src/main/java/open/dolphin/rest/OperationsReadinessEvaluator.java","clientAuthConfigured observability truth回復; fail-close regressionなし",none,4
T-009,T-NEG-01,WS-S1,SA-04,P2,test,"server-modernized/src/test/java/open/dolphin/orca/transport/OrcaTransportSettingsExternalConfigTest.java;server-modernized/src/test/java/open/dolphin/rest/AdminOrcaConnectionTestSupportTest.java;server-modernized/src/test/java/open/dolphin/rest/OperationsHealthResourceTest.java;server-modernized/src/test/java/open/dolphin/orca/transport/OrcaHttpClientLogTest.java",rendered log/audit details/readiness detailのnon-leakを直接pin,T-008 partial,4
T-010,guard,WS-M1,main-agent,P3,merge+stabilization,cross-workstream,"pass area regressionなし; task/test matrixとhandoff更新; final static report",T-001..T-009,5
