gate_id,theme,severity,owner,fallback,decision_needed_by,blocking_scope
UG-01,billing confirmation authoritative owner,high,billing + product owner,`会計待ち + 送信済` のまま止め、client send だけで `会計済み` にしない,before PR-06a merge,WS-01;WS-06;WS-09
UG-02,rebilling / `再計待` clear rule,high,billing + product owner,paid 後編集は `再計待` に倒し、clear 条件は自動解除しない,before PR-06b merge,WS-01;WS-06
UG-03,send 後の canonical accounting handoff owner,medium,billing + reception owner,workflow を進めず transmission signal だけ更新する,before PR-06a merge,WS-06
WS01-G1,row-local billing signal key,high,reception owner,patientId-only overlay を multi-reception row に適用しない。曖昧なら positive signal を出さない,before PR-01 merge,WS-01
WS02-G1,docs と code の encounter context source order 差,medium,charts-shell + docs owner,non-persistence を維持したまま gap を docs に明記し、source order 変更は別裁定に回す,before PR-02 merge,WS-02
WS02-G2,safe direct return label mapping,low,charts-shell + product owner,Charts main では `受付へ戻る` のみ fixed label とし、generic 戻りを出さない,before PR-02 merge,WS-02
UG-04,clinical disease primary write owner,high,disease + product owner,insurance-local のみ writable。clinical は fake list を出さず boundary note で止める,before PR-04 merge,WS-04
UG-05,insurance disease ↔ ORCA mirror sync direction,high,disease + ORCA owner,auto merge しない。mirror は read-only。route は taxonomy 固定まで追加しない,before PR-04 merge,WS-04
UG-06,ORCA-only row / diff resolution rule,medium,disease + operations owner,visible diff note + manual resolution。silent delete しない,before PR-04 merge,WS-04
UG-07,disease outcome / end-date / stale semantics,medium,disease owner,current local preset は input assist に留め、canonical enum / freshness threshold と断定しない,before PR-04 merge,WS-04
WS04-G1,`diagnosisCode` persistence semantics,high,disease + server owner,candidate 表示は両方見せても persist は exact server-guaranteed field または user-confirm に限定,before PR-04 merge,WS-04
WS04-G2,local diagnosis list vs summary date semantics,medium,disease + server owner,client 側 heuristic で sync state を推定しない,before PR-04 merge,WS-04
UG-08,document hydration source,high,document-image + product owner,snapshot-only。runtime hydration を匂わせず、missing-state は fail-close,before PR-05 merge,WS-05
UG-09,delete scope (`reference remove` vs `hard delete`),high,document-image + product owner,UI は `文書履歴参照を削除` のみ。hard delete は gate 閉鎖まで非表示,before PR-05 merge,WS-05
WS05-G1,`/karte/document` reference-only payload real backend contract,high,document-image + server owner,server 未対応なら document attach action を feature-off にし、patient image upload / SOAP insert のみ残す,before PR-05 merge,WS-05
WS05-G2,attachment-linked saved document edit / rehydrate,high,document-image owner,`編集` を block し、silent drop を防ぐ,before PR-05 merge,WS-05
UG-11,cp-set / consult-set reusable asset rule,medium,orders + product owner,multi-domain asset は right rail に入れない,before PR-03 merge,WS-03
UG-12,same-day same-test correction automation scope,medium,billing + operations owner,correction note 表示のみ。client 完全自動化はしない,before PR-06a merge,WS-06
UG-14,management-setting inventory / authoritative source owner,high,admin-runtime + product owner,unknown setting は feature-off。fake toggle / success badge を出さない,before PR-07 merge,WS-07
UG-16,responsive compression exact thresholds / 390 target,medium,ui integrator + product owner,情報削減ではなく center-first 再配置。390 fixed target は Mobile Images のみ,before PR-08 / PR-09,WS-02;WS-03;WS-08
UG-17,concurrent edit final UX,medium,charts-shell + product owner,first-save-wins + explicit error を維持し、optimistic merge をしない,before PR-08 / PR-09,WS-02;WS-04;WS-05
